X-axis,Y-axis,Link
330234.0416179931,4166687.224335388,3
330233.6581040936,4166687.3464808688,3
330233.27459020447,4166687.468626369,3
330232.8910763259,4166687.5907718875,3
330232.50756246,4166687.712917424,3
330232.1240486023,4166687.8350629793,3
330231.74053475505,4166687.957208552,3
330231.35702091584,4166688.079354132,3
330230.9735070893,4166688.201499731,3
330230.5899932688,4166688.3236453487,3
330230.2064794632,4166688.4457909833,3
330229.8229656657,4166688.567936637,3
330229.4394518789,4166688.690082308,3
330229.05593810236,4166688.812227994,3
330228.6724243362,4166688.9343736945,3
330228.2889105782,4166689.0565194096,3
330227.9053968329,4166689.1786651434,3
330227.52188309585,4166689.300810897,3
330227.1383693693,4166689.422956668,3
330226.75485565537,4166689.545102458,3
330226.3713419497,4166689.6672482598,3
330225.9878282542,4166689.789394074,3
330225.60431456706,4166689.9115399094,3
330225.22080089035,4166690.0336857615,3
330224.83728722634,4166690.1558316313,3
330224.45377357275,4166690.277977519,3
330224.0702599273,4166690.4001234234,3
330223.6867462923,4166690.52226934,3
330223.30323266773,4166690.6444152743,3
330222.91971905355,4166690.766561227,3
330222.53620544996,4166690.8887071977,3
330222.15269185667,4166691.010853185,3
330221.7691782715,4166691.132999186,3
330221.3856646968,4166691.2551452043,3
330221.0021511349,4166691.377291241,3
330220.6186375811,4166691.4994372944,3
