fid,cngdegrees,x,y
"-12",0.000709656999999999,330283.3811312237,4166722.0664036814
"-12",0.000718639999999999,330284.1495992050,4166721.8296926762
"-12",0.000727622999999999,330284.9170123061,4166721.5877109920
"-12",0.000736605999999999,330285.6844254463,4166721.3457293799
"-12",0.000745588999999999,330286.4518386280,4166721.1037478433
"-12",0.000754571999999999,330287.2178302642,4166720.8550162222
"-12",0.000763554999999999,330287.9833016142,4166720.6038139942
"-12",0.000772537999999999,330288.7487730071,4166720.3526118351
"-12",0.000781520999999999,330289.5142444432,4166720.1014097510
"-12",0.000790503999999999,330290.2788003187,4166719.8459967342
"-12",0.000799486999999999,330291.0428999037,4166719.5884850598
"-12",0.000808469999999999,330291.8069995354,4166719.3309734599
"-12",0.000817452999999998,330292.5710992090,4166719.0734619303
"-12",0.000826435999999998,330293.3344614820,4166718.8126323833
"-12",0.000835418999999998,330294.0975421912,4166718.5505358223
"-12",0.000844401999999998,330294.8606229431,4166718.2884393367
"-12",0.000853384999999998,330295.6235652892,4166718.0257298383
"-12",0.000862367999999998,330296.3858613156,4166717.7601582329
"-12",0.000871350999999998,330297.1481573898,4166717.4945867006
"-12",0.000880333999999998,330297.9102673006,4166717.2282006056
"-12",0.000889316999999998,330298.6719454397,4166716.9599254690
"-12",0.000898299999999998,330299.4334504529,4166716.6908997209
"-12",0.000907282999999998,330300.1577961179,4166716.3037212808
"-12",0.000916265999999998,330300.8849831550,4166715.9158728640
"-12",0.000925248999999998,330301.6391443538,4166715.6204018113
"-12",0.000934231999999998,330302.4247208784,4166715.5382987391
