               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032983,           0.0054066,           0.0029474,             0.91765,             0.85196,             0.88309,             0.58772,            0.029765,           0.0038443,           0.0013376,            0.007756,            0.007756,            0.007756
                  36,             0.03283,           0.0053273,           0.0028929,             0.91934,             0.85162,             0.88338,             0.58824,             0.02974,           0.0038392,           0.0013174,             0.00769,             0.00769,             0.00769
                  37,            0.032656,           0.0053992,           0.0027767,             0.92089,             0.85199,             0.88438,             0.58911,            0.029693,           0.0038329,            0.001295,            0.007624,            0.007624,            0.007624
                  38,            0.032813,           0.0053861,           0.0028741,             0.91984,             0.85374,             0.88531,             0.59001,            0.029642,           0.0038269,           0.0012739,            0.007558,            0.007558,            0.007558
                  39,            0.032568,           0.0053156,             0.00266,             0.92058,             0.85461,             0.88634,             0.59097,            0.029597,           0.0038217,           0.0012551,            0.007492,            0.007492,            0.007492
                  40,            0.032446,           0.0053361,           0.0026643,              0.9217,             0.85416,             0.88669,             0.59166,            0.029544,           0.0038153,           0.0012382,            0.007426,            0.007426,            0.007426
                  41,            0.032522,           0.0053308,           0.0026674,             0.92078,              0.8547,             0.88665,             0.59221,            0.029501,           0.0038097,           0.0012229,             0.00736,             0.00736,             0.00736
                  42,            0.032483,            0.005363,           0.0026615,             0.91941,             0.85727,             0.88726,              0.5932,            0.029455,           0.0038034,           0.0012048,            0.007294,            0.007294,            0.007294
                  43,             0.03233,           0.0052927,            0.002641,             0.92096,             0.85716,             0.88725,             0.59375,             0.02941,           0.0037979,           0.0011867,            0.007228,            0.007228,            0.007228
                  44,            0.032169,           0.0052816,           0.0026263,             0.92216,             0.85686,             0.88724,              0.5946,            0.029356,           0.0037922,           0.0011707,            0.007162,            0.007162,            0.007162
                  45,            0.032041,            0.005278,           0.0024725,             0.92364,              0.8572,             0.88819,             0.59607,            0.029287,           0.0037853,             0.00115,            0.007096,            0.007096,            0.007096
                  46,            0.032246,           0.0052958,           0.0025902,             0.92339,             0.86026,             0.88984,             0.59709,            0.029215,           0.0037785,           0.0011281,             0.00703,             0.00703,             0.00703
                  47,            0.032114,            0.005293,           0.0025422,             0.92271,             0.86131,             0.89092,              0.5978,             0.02915,           0.0037726,           0.0011106,            0.006964,            0.006964,            0.006964
                  48,            0.031993,           0.0052813,           0.0025146,             0.92477,             0.86038,              0.8913,             0.59868,            0.029078,           0.0037653,            0.001092,            0.006898,            0.006898,            0.006898
                  49,             0.03192,           0.0052347,           0.0025191,             0.92369,             0.86193,             0.89192,             0.60003,            0.029006,           0.0037584,            0.001075,            0.006832,            0.006832,            0.006832
                  50,            0.032008,            0.005219,           0.0025222,             0.92307,             0.86357,             0.89267,             0.60102,            0.028938,           0.0037522,           0.0010584,            0.006766,            0.006766,            0.006766
                  51,            0.031857,           0.0052373,           0.0024536,             0.92336,             0.86353,               0.893,             0.60207,            0.028873,           0.0037456,           0.0010435,              0.0067,              0.0067,              0.0067
                  52,            0.031948,           0.0052056,           0.0024355,             0.92352,             0.86434,             0.89339,             0.60342,            0.028807,           0.0037392,           0.0010276,            0.006634,            0.006634,            0.006634
                  53,            0.031607,           0.0051886,           0.0022974,             0.92382,             0.86561,             0.89365,             0.60384,            0.028747,           0.0037335,            0.001012,            0.006568,            0.006568,            0.006568
                  54,            0.031617,           0.0051761,           0.0022601,             0.92456,             0.86605,             0.89447,             0.60465,            0.028696,           0.0037277,          0.00099693,            0.006502,            0.006502,            0.006502
                  55,            0.031434,           0.0052192,           0.0022787,             0.92506,             0.86689,             0.89484,             0.60589,            0.028631,            0.003721,          0.00098336,            0.006436,            0.006436,            0.006436
                  56,            0.031497,            0.005164,           0.0023117,             0.92435,             0.86811,             0.89512,             0.60664,            0.028565,           0.0037145,          0.00097097,             0.00637,             0.00637,             0.00637
                  57,            0.031504,           0.0051648,           0.0024014,             0.92548,              0.8684,             0.89638,             0.60787,            0.028505,           0.0037079,          0.00095908,            0.006304,            0.006304,            0.006304
                  58,            0.031384,           0.0051633,           0.0021779,              0.9252,             0.87018,             0.89655,               0.609,            0.028443,           0.0037011,          0.00094475,            0.006238,            0.006238,            0.006238
                  59,            0.031327,           0.0051575,           0.0022633,             0.92544,             0.87182,             0.89777,             0.61028,            0.028377,            0.003694,          0.00093211,            0.006172,            0.006172,            0.006172
                  60,            0.031203,           0.0052034,           0.0023574,              0.9263,              0.8719,             0.89804,             0.61121,            0.028311,           0.0036874,           0.0009212,            0.006106,            0.006106,            0.006106
                  61,             0.03125,           0.0051465,           0.0022401,             0.92664,             0.87203,             0.89769,             0.61241,            0.028243,           0.0036798,          0.00090784,             0.00604,             0.00604,             0.00604
                  62,            0.031188,           0.0051451,           0.0021508,             0.92683,              0.8731,             0.89891,             0.61361,            0.028175,            0.003672,           0.0008952,            0.005974,            0.005974,            0.005974
                  63,             0.03111,           0.0051296,           0.0021327,              0.9279,             0.87335,             0.89941,              0.6144,             0.02812,            0.003667,          0.00088476,            0.005908,            0.005908,            0.005908
                  64,            0.030949,           0.0051137,           0.0020915,             0.92841,             0.87406,              0.9004,             0.61546,            0.028062,           0.0036601,          0.00087315,            0.005842,            0.005842,            0.005842
                  65,            0.030746,           0.0051125,           0.0020482,             0.92904,             0.87429,             0.90043,             0.61683,            0.027991,           0.0036521,          0.00086068,            0.005776,            0.005776,            0.005776
                  66,            0.030894,            0.005129,           0.0021738,             0.92862,             0.87491,             0.90122,             0.61767,            0.027931,           0.0036459,            0.000849,             0.00571,             0.00571,             0.00571
                  67,            0.030865,           0.0050683,           0.0022044,             0.93017,             0.87411,             0.90172,             0.61854,            0.027873,           0.0036399,          0.00083823,            0.005644,            0.005644,            0.005644
                  68,            0.030606,           0.0051215,           0.0021001,             0.93053,              0.8748,              0.9021,             0.61931,            0.027812,           0.0036331,          0.00082837,            0.005578,            0.005578,            0.005578
                  69,            0.030624,           0.0050595,            0.001942,             0.92954,             0.87615,             0.90256,             0.62012,            0.027755,           0.0036257,          0.00081669,            0.005512,            0.005512,            0.005512
                  70,            0.030677,           0.0050831,           0.0020135,             0.93089,             0.87567,             0.90277,             0.62105,            0.027704,           0.0036186,          0.00080614,            0.005446,            0.005446,            0.005446
                  71,            0.030524,           0.0051121,           0.0020092,             0.93141,               0.877,             0.90329,             0.62223,            0.027652,           0.0036121,           0.0007942,             0.00538,             0.00538,             0.00538
                  72,            0.030615,           0.0050624,           0.0019414,             0.93294,             0.87658,             0.90379,             0.62286,            0.027608,           0.0036062,          0.00078442,            0.005314,            0.005314,            0.005314
                  73,             0.03033,           0.0050581,           0.0020016,             0.93419,             0.87576,             0.90438,             0.62356,            0.027566,           0.0036005,          0.00077632,            0.005248,            0.005248,            0.005248
                  74,            0.030501,           0.0050501,           0.0019965,             0.93463,             0.87688,             0.90437,             0.62423,            0.027516,           0.0035941,          0.00076705,            0.005182,            0.005182,            0.005182
                  75,            0.030356,           0.0050183,           0.0019688,              0.9343,             0.87742,             0.90463,             0.62451,            0.027466,           0.0035883,          0.00075362,            0.005116,            0.005116,            0.005116
                  76,            0.030332,           0.0050624,           0.0019777,             0.93448,             0.87783,             0.90508,              0.6249,            0.027415,           0.0035827,          0.00074154,             0.00505,             0.00505,             0.00505
                  77,            0.030156,           0.0050315,           0.0019727,             0.93406,             0.87863,             0.90612,             0.62585,            0.027363,            0.003576,          0.00072989,            0.004984,            0.004984,            0.004984
                  78,            0.030058,           0.0049955,           0.0018463,             0.93392,             0.87905,             0.90581,             0.62688,            0.027314,           0.0035704,          0.00071969,            0.004918,            0.004918,            0.004918
                  79,            0.029982,           0.0049582,           0.0018088,             0.93383,             0.88047,             0.90696,             0.62778,            0.027268,           0.0035654,          0.00071216,            0.004852,            0.004852,            0.004852
                  80,             0.02999,           0.0050024,           0.0019135,             0.93343,             0.88093,             0.90727,             0.62845,            0.027231,             0.00356,          0.00070354,            0.004786,            0.004786,            0.004786
                  81,            0.029911,           0.0049806,           0.0018363,             0.93405,             0.88116,             0.90781,             0.62914,             0.02719,           0.0035541,          0.00069517,             0.00472,             0.00472,             0.00472
                  82,            0.029942,           0.0049896,           0.0018478,             0.93375,             0.88193,             0.90795,              0.6297,            0.027146,           0.0035481,          0.00068844,            0.004654,            0.004654,            0.004654
                  83,            0.029792,           0.0049419,           0.0017618,             0.93365,             0.88197,             0.90812,             0.63011,            0.027103,           0.0035425,          0.00068104,            0.004588,            0.004588,            0.004588
                  84,            0.029685,           0.0049702,           0.0017746,             0.93416,             0.88183,             0.90862,             0.63091,            0.027049,           0.0035369,          0.00067399,            0.004522,            0.004522,            0.004522
                  85,            0.029634,           0.0049048,           0.0017671,             0.93488,             0.88184,              0.9094,             0.63217,            0.026996,           0.0035304,          0.00066679,            0.004456,            0.004456,            0.004456
                  86,            0.029353,           0.0049236,           0.0016546,             0.93612,             0.88154,             0.90974,             0.63286,            0.026942,           0.0035228,          0.00065788,             0.00439,             0.00439,             0.00439
                  87,            0.029527,           0.0048963,           0.0017537,             0.93753,             0.88141,             0.90988,             0.63363,            0.026894,           0.0035157,          0.00064967,            0.004324,            0.004324,            0.004324
                  88,            0.029405,           0.0049283,            0.001685,             0.93823,             0.88115,             0.91033,             0.63461,            0.026839,           0.0035099,          0.00064172,            0.004258,            0.004258,            0.004258
                  89,             0.02941,           0.0048842,           0.0016048,             0.93716,             0.88215,             0.91057,             0.63543,            0.026785,           0.0035032,           0.0006324,            0.004192,            0.004192,            0.004192
                  90,            0.029359,           0.0049006,           0.0016437,              0.9359,             0.88345,              0.9108,             0.63587,            0.026743,           0.0034973,          0.00062645,            0.004126,            0.004126,            0.004126
                  91,            0.029295,           0.0049235,           0.0016412,             0.93672,             0.88289,             0.91128,             0.63693,            0.026691,           0.0034917,          0.00062204,             0.00406,             0.00406,             0.00406
                  92,            0.029102,           0.0048529,           0.0016591,             0.93704,             0.88336,             0.91141,             0.63787,            0.026634,           0.0034856,          0.00061621,            0.003994,            0.003994,            0.003994
                  93,            0.029028,           0.0048353,           0.0015201,             0.93694,             0.88347,             0.91185,             0.63826,            0.026579,           0.0034792,          0.00060832,            0.003928,            0.003928,            0.003928
                  94,             0.02885,            0.004848,           0.0015423,             0.93592,             0.88536,              0.9125,             0.63889,            0.026517,           0.0034731,          0.00060298,            0.003862,            0.003862,            0.003862
                  95,            0.029135,           0.0048892,           0.0016236,               0.935,             0.88592,             0.91233,             0.63987,            0.026447,           0.0034668,          0.00059694,            0.003796,            0.003796,            0.003796
                  96,              0.0289,           0.0048527,           0.0015259,             0.93577,             0.88734,             0.91335,             0.64141,            0.026386,             0.00346,          0.00058985,             0.00373,             0.00373,             0.00373
                  97,            0.028794,           0.0048332,           0.0014821,              0.9362,             0.88742,             0.91369,             0.64183,            0.026321,           0.0034531,          0.00058416,            0.003664,            0.003664,            0.003664
                  98,             0.02869,           0.0047848,            0.001472,             0.93679,             0.88784,             0.91432,             0.64324,            0.026256,           0.0034458,          0.00057842,            0.003598,            0.003598,            0.003598
                  99,            0.028604,           0.0048163,           0.0014785,             0.93833,             0.88789,             0.91467,             0.64421,            0.026194,           0.0034391,          0.00057005,            0.003532,            0.003532,            0.003532
                 100,            0.028481,           0.0047908,           0.0013419,             0.93884,             0.88826,             0.91489,             0.64524,            0.026135,           0.0034329,          0.00056483,            0.003466,            0.003466,            0.003466
                 101,            0.028463,           0.0047784,           0.0014176,             0.93915,             0.88837,             0.91511,             0.64591,            0.026075,           0.0034265,           0.0005602,              0.0034,              0.0034,              0.0034
                 102,            0.028301,           0.0047723,           0.0014142,             0.93924,             0.88894,             0.91584,             0.64736,             0.02601,           0.0034197,          0.00055448,            0.003334,            0.003334,            0.003334
                 103,            0.028418,           0.0047868,           0.0014027,             0.93927,             0.88968,             0.91588,              0.6483,            0.025941,           0.0034133,          0.00054821,            0.003268,            0.003268,            0.003268
                 104,             0.02826,           0.0047963,           0.0012905,             0.93978,             0.88944,             0.91619,             0.64919,            0.025872,           0.0034063,          0.00053981,            0.003202,            0.003202,            0.003202
                 105,            0.028158,           0.0047762,           0.0012874,             0.94058,             0.88943,             0.91647,             0.65018,             0.02581,           0.0033995,           0.0005324,            0.003136,            0.003136,            0.003136
                 106,            0.028107,           0.0047149,           0.0012442,             0.94078,             0.88978,             0.91674,             0.65126,             0.02575,           0.0033926,          0.00052604,             0.00307,             0.00307,             0.00307
                 107,            0.027851,           0.0046816,           0.0012307,             0.94261,             0.89011,             0.91745,             0.65225,            0.025679,           0.0033851,          0.00051763,            0.003004,            0.003004,            0.003004
                 108,            0.028008,           0.0047112,           0.0013274,             0.94357,              0.8904,             0.91777,             0.65332,            0.025614,           0.0033776,          0.00051238,            0.002938,            0.002938,            0.002938
                 109,            0.027747,           0.0046851,           0.0011919,             0.94336,             0.89034,             0.91789,             0.65462,            0.025557,           0.0033709,          0.00050777,            0.002872,            0.002872,            0.002872
                 110,            0.027633,           0.0046562,           0.0012111,             0.94218,             0.89126,             0.91818,             0.65527,            0.025501,            0.003365,          0.00050342,            0.002806,            0.002806,            0.002806
                 111,            0.027625,            0.004634,           0.0011477,             0.94272,             0.89201,             0.91862,             0.65647,            0.025437,           0.0033579,          0.00049888,             0.00274,             0.00274,             0.00274
                 112,            0.027478,           0.0046336,           0.0012246,             0.94269,             0.89181,             0.91869,             0.65695,            0.025377,           0.0033505,          0.00049349,            0.002674,            0.002674,            0.002674
                 113,            0.027394,           0.0046265,            0.001188,             0.94325,             0.89232,             0.91912,             0.65815,            0.025316,           0.0033425,          0.00048923,            0.002608,            0.002608,            0.002608
                 114,            0.027529,           0.0046432,           0.0011302,             0.94338,             0.89288,             0.91943,             0.65901,            0.025257,           0.0033354,          0.00048351,            0.002542,            0.002542,            0.002542
                 115,            0.027453,           0.0045995,           0.0011485,             0.94368,             0.89237,             0.91964,             0.66025,            0.025193,           0.0033283,          0.00047514,            0.002476,            0.002476,            0.002476
